COD_ASL,COD_STRUTTURA ,DENOM_STRUTTURA,INDIRIZZO_UBICAZIONE,COD_ISTAT_COMUNE_UBICAZIONE,COMUNE_UBICAZIONE,CAP,PROV_COMUNE_UBICAZIONE,TOT_POSTI_AUTORIZZATI,TOT_POSTI_ORDINARI_ACCREDITATI,TOT_POSTI_ALZHEIMER_ACCREDITATI,TOT_POSTI_ACCREDITATI,DENOM_GESTORE,P_IVA,INDIRIZZO_SEDE_LEGALE,COD_ISTAT_COMUNE_SEDE_LEGALE,COMUNE_SEDE_LEGALE,PROV_SEDE_LEGALE,NATURA_GIURIDICA,PUBBLICA/PRIVATA,ONLUS,WGS84_X,WGS84_Y,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia,ATS Regione Lombardia,Comuni 2015 Polygon Semplificato Qgis
321,000594,RSA MONSIGNOR CARLO SALVADERI,VIA DOSSINO  33,098038,MELETI,26843,LO,77,77,0,77,DL SERVIZI SOCIETA' COOPERATIVA SOCIALE ONLUS,05252550966,VIA DOSSINO 33,098038,MELETI,LO,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.83923516,45.11884979,"(45.11884979, 9.83923516)",11,11,8,230
322,000796,CASA DI RIPOSO SAN GAETANO,VIA MAZZINI  14,012124,SUMIRAGO,21040,VA,91,91,0,91,PROVINCIA ITALIANA DELLA CONGREGAZIONE DEI SERVI DELLA CARITA' - OPERA DON GUANELLA,01084241007,VICOLO CLEMENTI 41,058091,ROMA,RM,ENTE ECCLESIASTICO,PRIVATO,NO,8.78716804,45.75490039,"(45.75490039, 8.78716804)",1,1,3,240
325,001288,FONDAZIONE SANT'ANDREA,VIA SAN DEFENDENTE  1,016077,CLUSONE,24023,BG,120,100,20,120,FONDAZIONE SANT'ANDREA ONLUS,03215660162,VIA S. DEFENDENTE 1,016077,CLUSONE,BG,FONDAZIONE,PRIVATO,SI,9.95564898,45.89047442,"(45.89047442, 9.95564898)",5,5,1,529
322,000807,SANT'ANDREA,VIA BUTTAFAVA  15,012040,CASSANO MAGNAGO,21012,VA,60,60,0,60,CONSORZIO ZENIT SOCIALE - SOCIETA' COOPERATIVA SOCIALE,02719390342,VIA FAUSTINO TANARA 20/B,034027,PARMA,PR,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,NO,8.82876914,45.6770726,"(45.6770726, 8.82876914)",1,1,3,1291
321,000462,RSA DOTT. MARIO LEONE,VIA S. BERNARDO 4,015144,MESERO,20010,MI,60,60,0,60,COOPERATIVA SOCIALE COOPSELIOS SOCIETÀ COOPERATIVA ONLUS,01164310359,VIA ANTONIO GRAMSCI 54/S,035033,REGGIO NELL'EMILIA,RE,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,8.85565977,45.50078657,"(45.50078657, 8.85565977)",4,4,8,691
321,000032,RSA CASA DELL'ANZIANO SAN CAMILLO,VIA DELLA CAPPELLETTA  5,015051,CARUGATE,20061,MI,78,63,15,78,CASA DELL'ANZIANO SAN CAMILLO COOPERATIVA SOCIALE ONLUS,00989140967,VIA DELLA CAPPELLETTA 5,015051,CARUGATE,MI,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.34859686,45.54520851,"(45.54520851, 9.34859686)",4,4,8,654
321,000318,IL NAVIGLIO,VIA ALZAIA TRENTO  1,015093,CORSICO,20094,MI,120,80,40,120,GRUPPO GHERON SRL,01574550339,VIA ARCHIMEDE 57,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.110145,45.4354079,"(45.4354079, 9.110145)",4,4,8,621
321,000179,SANTA GIULIA,VIA PITTERI  81,015146,MILANO,20100,MI,145,145,0,145,SEGESTA GESTIONI SRL,04140620966,VIALE CASSALA 16,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.2466944,45.47784769,"(45.47784769, 9.2466944)",4,4,8,623
324,041708,MACHIAVELLI 1,VIA VIVALDI  14,108007,BERNAREGGIO,20881,MB,120,120,0,120,LA VILLA SRL,05849560486,VIA BENEDETTO DA FOIANO 14,048017,FIRENZE,FI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,,,,,,,
322,000878,RESIDENZA SANITARIA ASSISTENZIALE MARIA IMMACOLATA,VIA PAISIELLO  9,012133,VARESE,21100,VA,90,90,0,90,ISTITUTO SUORE CAPPUCCINE DI MADRE RUBATTO - ENTE ECCLESIASTICO CIVILMENTE RICONOSCIUTO,00564560100,VIA IV NOVEMBRE 7,016024,BERGAMO,BG,ENTE ECCLESIASTICO,PRIVATO,NO,8.83006094,45.82681224,"(45.82681224, 8.83006094)",1,1,3,267
327,001839,FONDAZIONE OSPEDALE DELLA CARITA' CASA DI RIPOSO ONLUS,VIA MARCONI  1,019016,CASALBUTTANO ED UNITI,26011,CR,300,300,0,300,FONDAZIONE OSPEDALE DELLA CARITA ONLUS,00871140190,VIA MARCONI 1,019016,CASALBUTTANO ED UNITI,CR,FONDAZIONE,PRIVATO,SI,9.96252849,45.24844182,"(45.24844182, 9.96252849)",8,8,4,850
321,000096,ISTITUTO GERIATRICO P. REDAELLI,VIA BARTOLOMEO D'ALVIANO  78,015146,MILANO,20100,MI,310,222,88,310,AZIENDA DI SERVIZI ALLA PERSONA GOLGI REDAELLI,04737420150,VIA BARTOLOMEO D'ALVIANO 78,015146,MILANO,MI,AZIENDA DI SERVIZI ALLA PERSONA (ASP),PUBBLICO,NO,9.13801796,45.45958928,"(45.45958928, 9.13801796)",4,4,8,623
328,004869,RESIDENZA SANITARIA ASSISTENZIALE DI CORTEOLONA,VIA DELLE COSTIERE  4,018192,,,PV,46,46,0,46,PII ISTITUTI UNIFICATI,00478980188,PIAZZALE MONSIGNOR BATTISTA CLERICI 6,018013,BELGIOIOSO,PV,ENTE MORALE DI DIRITTO PRIVATO,PRIVATO,SI,,,,,,,
321,059211,RSA CASA GESÙ MAESTRO,VIA GIACOMO MATTEOTTI  57,015077,CINISELLO BALSAMO,20092,MI,65,,,0,SOCIALCOOP CONSORZIO COOPERATIVE SOCIALI,01017410059,VIA XX SETTEMBRE 126,005005,ASTI,AT,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.23663536,45.5526988,"(45.5526988, 9.23663536)",4,4,8,614
327,001994,RSA ISABELLA D'ESTE,PIAZZALE MICHELANGELO  1,020030,MANTOVA,46100,MN,120,107,13,120,ASPEF AZIENDA SERVIZI ALLA PERSONA E ALLA FAMIGLIA,01837820206,PIAZZALE MICHELANGELO 1,020030,MANTOVA,MN,AZIENDA SPECIALE DI ENTE LOCALE,PUBBLICO,NO,10.77590104,45.1533872,"(45.1533872, 10.77590104)",9,9,4,1048
326,001473,RSA - CASA DI RIPOSO DON F. CREMONA ONLUS,VIA BRITANNICI  18,017133,PALAZZOLO SULL'OGLIO,25036,BS,75,70,0,70,FONDAZIONE CASA DI RIPOSO DON F. CREMONA ONLUS,01775950171,VIA BRITANNICI 18,017133,PALAZZOLO SULL'OGLIO,BS,ENTE MORALE DI DIRITTO PRIVATO,PRIVATO,SI,9.8781611,45.59761342,"(45.59761342, 9.8781611)",6,6,2,1265
322,002931,SACRO CUORE - 2,VIA ROMA  33,013087,DIZZASCO,22020,CO,20,20,0,20,ASSOCIAZIONE IL FOCOLARE DI S. MARIA DI LORETO,01943130136,VIA VANONE CERESOLA 3,013253,ALTA VALLE INTELVI,CO,ASSOCIAZIONE,PRIVATO,SI,9.09872324,45.94409872,"(45.94409872, 9.09872324)",2,2,7,212
326,001724,RSA - FONDAZIONE CASA DI RIPOSO DI GHEDI ONLUS,VIA X GIORNATE  76,017078,GHEDI,25016,BS,109,93,0,93,FONDAZIONE CASA DI RIPOSO DI GHEDI ONLUS,00851380170,VIA X GIORNATE 76,017078,GHEDI,BS,FONDAZIONE,PRIVATO,SI,10.26803329,45.40617099,"(45.40617099, 10.26803329)",6,6,2,1374
324,001129,RSA RESIDENZA IL PARCO,VIALE GARIBALDI  37,108015,CARATE BRIANZA,20841,MB,100,80,20,100,SOCIETA' COOPERATIVA IL PARCO - CENTRO DI ATTIVITA' SOCIALI,00765810965,VIALE GARIBALDI 37,108015,CARATE BRIANZA,MB,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.23267145,45.68394588,"(45.68394588, 9.23267145)",12,12,5,1495
325,001266,RESIDENZA SANITARIO ASSISTENZIALE PER ANZIANI,VIA PAPA GIOVANNI XXIII  4,016038,BREMBATE DI SOPRA,24030,BG,207,185,15,200,FONDAZIONE CASA SERENA ONLUS,04008150163,VIA GIOVANNI XXIII 4,016038,BREMBATE DI SOPRA,BG,FONDAZIONE,PRIVATO,SI,9.5843261,45.71997265,"(45.71997265, 9.5843261)",5,5,1,779
324,001167,RSA FONDAZIONE RESIDENZA AMICA ONLUS,VIA M. D'AZEGLIO 70,108024,GIUSSANO,20833,MB,85,85,0,85,FONDAZIONE RESIDENZA AMICA ONLUS,00967850967,VIA M. D'AZEGLIO 70,108024,GIUSSANO,MB,FONDAZIONE,PRIVATO,SI,,,,,,,
321,000310,RSA PONTIROLO,VIA VOLTA  4,015011,ASSAGO,20090,MI,60,60,0,60,FONDAZIONE PONTIROLO ONLUS INTERCOMUNALE,04583730967,VIA VOLTA 4,015011,ASSAGO,MI,FONDAZIONE,PRIVATO,SI,9.1255651,45.41182256,"(45.41182256, 9.1255651)",4,4,8,155
322,002822,RSA CASA S. MARCELLINA,VIA TOMMASO GROSSI  20,013075,COMO,22100,CO,83,81,0,81,ISTITUTO DELLE FIGLIE DI SANTA MARIA DELLA DIVINA PROVVIDENZA,01062811003,PIAZZA SAN PANCRAZIO 9,058091,ROMA,RM,ENTE ECCLESIASTICO,PRIVATO,SI,9.09263744,45.8101991,"(45.8101991, 9.09263744)",2,2,3,204
326,001728,RSA - FONDAZIONE ONLUS CASA DI RIPOSO BEATA CRISTINA,VIA BENEFATTORI  24,017034,CALVISANO,25012,BS,62,62,0,62,FONDAZIONE ONLUS CASA DI RIPOSO BEATA CRISTINA,85001370171,VIA BENEFATTORI 24,017034,CALVISANO,BS,FONDAZIONE,PRIVATO,SI,10.34450443,45.35153939,"(45.35153939, 10.34450443)",6,6,2,1061
324,001007,RSA CASA DI RIPOSO OASI DOMENICANA,VIA B. BUOZZI 6,108008,BESANA IN BRIANZA,20842,MB,66,66,0,66,IST. SUORE DOMENICANE SS. ROSARIO,02242820153,VIA PIAVE 6,015140,MELEGNANO,MI,ENTE ECCLESIASTICO,PRIVATO,NO,9.29311494,45.70438592,"(45.70438592, 9.29311494)",12,12,5,76
324,001169,RSA SAN PIETRO,VIALE C. BATTISTI 86,108033,MONZA,20900,MB,140,125,15,140,LA MERIDIANA DUE SOCIETÀ COOPERATIVA SOCIALE,02322460961,VIA CESARE BATTISTI 86,108033,MONZA,MB,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.25570739,45.59111794,"(45.59111794, 9.25570739)",12,12,5,1482
328,002226,PIO ISTITUTO ADELINA NIGRA,PIAZZA RISORGIMENTO  3,018146,SARTIRANA LOMELLINA,27020,PV,75,60,15,75,FONDAZIONE PIO ISTITUTO ADELINA NIGRA,01504240183,PIAZZA RISORGIMENTO 3,018146,SARTIRANA LOMELLINA,PV,FONDAZIONE,PRIVATO,NO,8.67034047,45.11297156,"(45.11297156, 8.67034047)",7,7,6,1237
321,000024,FONDAZIONE OSPEDALE LUIGI MARCHESI,VIA L. MARCHESI 25,015114,INZAGO,20065,MI,70,70,0,70,FONDAZIONE OSPEDALE MARCHESI DI INZAGO,02833990159,VIA MARCHESI 25,015114,INZAGO,MI,FONDAZIONE,PRIVATO,NO,9.4798858,45.53890111,"(45.53890111, 9.4798858)",4,4,8,647
328,004752,R.S.A. LA FILANDA,VIA XXIV MAGGIO  31,018114,PIEVE PORTO MORONE,27017,PV,40,40,0,40,COOPERATIVA SOCIALE QUADRIFOGLIO S.C. ONLUS,03890320017,VIALE SAVORGNAN D'OSOPPO 4/10,001191,PINEROLO,TO,SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.44141257,45.10785497,"(45.10785497, 9.44141257)",7,7,6,1460
321,000180,RSA MARIA AUSILIATRICE SRL,VIA ROGOREDO  31,015146,MILANO,20100,MI,40,40,0,40,RESIDENZA SANITARIA ASSISTENZIALE MARIA AUSILIATRICE S.R.L.,04414200966,VIA ROGOREDO 31,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.24296918,45.43136411,"(45.43136411, 9.24296918)",4,4,8,623
324,001152,RSA MATER MISERICORDIAE,VIA E. MESSA 36,108033,MONZA,20900,MB,60,60,0,60,CONGREGAZIONE SUORE MISERICORDINE DI SAN GERARDO - MONZA,00701570962,PIAZZA SANTA MARGHERITA 2,108033,MONZA,MB,ENTE ECCLESIASTICO,PRIVATO,NO,9.29063929,45.58609594,"(45.58609594, 9.29063929)",12,12,5,1482
322,002709,VILLA DOSSEL,VIA MAZZANO,013037,CAGLIO,22030,CO,60,60,0,60,KOS CARE S.R.L.,01148190547,VIA DURINI 9,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.23855117,45.8677674,"(45.8677674, 9.23855117)",2,2,3,181
327,001874,FONDAZIONE SAN BIAGIO ONLUS,VIA SAN ROCCO  15,020018,CAVRIANA,46040,MN,30,30,0,30,FONDAZIONE SAN BIAGIO ONLUS,01565200209,VIA S. ROCCO 15,020018,CAVRIANA,MN,FONDAZIONE,PRIVATO,SI,10.60189619,45.3521671,"(45.3521671, 10.60189619)",9,9,4,981
321,000042,CASA PADRE PIO,VIA C. MENOTTI 160,015118,LEGNANO,20025,MI,77,56,0,56,OPERA MATER ORPHANORUM,00408560704,VIA DEI SARACENI 1,070017,CERCEMAGGIORE,CB,ENTE ECCLESIASTICO,PRIVATO,NO,8.89147877,45.59377935,"(45.59377935, 8.89147877)",4,4,8,652
327,001835,OPERA PIA LUIGI MAZZA ONLUS,VIA PORTA SOCCORSO  25,019076,PIZZIGHETTONE,26026,CR,96,96,0,96,FONDAZIONE OPERA PIA LUIGI MAZZA O.N.L.U.S.,00277170197,VIA PORTA SOCCORSO 25,019076,PIZZIGHETTONE,CR,FONDAZIONE,PRIVATO,SI,9.78151813,45.18522163,"(45.18522163, 9.78151813)",8,8,4,830
321,000255,SANTA CHIARA,VIA PITTERI  83,015146,MILANO,20100,MI,40,40,0,40,SEGESTA GESTIONI SRL,04140620966,VIALE CASSALA 16,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.24660226,45.47802766,"(45.47802766, 9.24660226)",4,4,8,623
328,002199,RESIDENZA LE TORRI,VIA UMBERTO PRIMO  41,018121,RETORBIDO,27050,PV,61,61,0,61,CROCE DI MALTA SRL,03653930960,VIALE CASSALA 16,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.03645696,44.94923349,"(44.94923349, 9.03645696)",7,7,6,1465
328,002148,ISTITUTO DE RODOLFI,VIA BRAMANTE  4,018177,VIGEVANO,27029,PV,107,85,22,107,AZIENDA SPECIALE MULTISERVIZI VIGEVANO,01968970184,VIA BRAMANTE 4,018177,VIGEVANO,PV,AZIENDA SPECIALE DI ENTE LOCALE,PUBBLICO,NO,8.84859742,45.31591011,"(45.31591011, 8.84859742)",7,7,6,1445
325,001436,OASI SAN PELLEGRINO,VIA PARTIGIANI  14,016190,SAN PELLEGRINO TERME,24016,BG,44,44,0,44,BERGAMO SANITA' SOCIETA' COOPERATIVA SOCIALE,03683860161,VIA SAN BERNARDINO 59,016024,BERGAMO,BG,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.66777042,45.84206937,"(45.84206937, 9.66777042)",5,5,1,393
321,000547,RSA PICCOLO COTTOLENGO DON ORIONE,VIALE CATERINA DA FORLÌ  19,015146,MILANO,20100,MI,200,140,60,200,PROVINCIA RELIGIOSA SAN MARZIANO DI DON ORIONE,02541960155,VIALE CATERINA DA FORLI' 19,015146,MILANO,MI,ENTE ECCLESIASTICO,PRIVATO,SI,9.14568845,45.45958749,"(45.45958749, 9.14568845)",4,4,8,623
323,004861,ISTITUTO SACRA FAMIGLIA,VIA SCANDOLERA  2,014043,MESE,23020,SO,25,,,0,IST. RELIG. CONGREGAZIONE DELLE PIE FIGLIE DELLA SACRA FAMIGLIA,00084240142,VIA SCANDOLERA 2,014043,MESE,SO,ENTE ECCLESIASTICO,PRIVATO,NO,9.38467022,46.31438251,"(46.31438251, 9.38467022)",3,3,7,115
326,001633,RSA - FONDAZIONE CASA DI RIPOSO FELTRINELLI ONLUS,VIA C. BATTISTI 2,017076,GARGNANO,25084,BS,52,52,0,52,FONDAZIONE CASA DI RIPOSO FELTRINELLI  ONLUS,87000350170,VIA C. BATTISTI 2,017076,GARGNANO,BS,FONDAZIONE,PRIVATO,SI,10.65231269,45.67474305,"(45.67474305, 10.65231269)",6,6,2,1371
327,001900,FONDAZIONE MAZZUCCHINI CASA DI RIPOSO POMPONESCO ONLUS,VIA GARIBALDI  36,020043,POMPONESCO,46030,MN,43,35,0,35,FONDAZIONE MAZZUCCHINI CASA DI RIPOSO POMPONESCO ONLUS,01542450208,VIA GARIBALDI 36,020043,POMPONESCO,MN,FONDAZIONE,PRIVATO,SI,10.59617097,44.92842274,"(44.92842274, 10.59617097)",9,9,4,906
323,000932,RSA FONDAZIONE DON G. FERRAGLIO,VIA GIOVANNI FERRAGLIO  8,017101,MALONNO,25040,BS,100,80,20,100,FONDAZIONE DON GIOVANNI FERRAGLIO MALONNO ONLUS,00656570983,VIA GIOVANNI FERRAGLIO 8,017101,MALONNO,BS,FONDAZIONE,PRIVATO,SI,10.31676639,46.11982485,"(46.11982485, 10.31676639)",6,6,7,1404
324,001157,R.S.A. SUORE MISERICORDINE,VIA BOVARA  35,097042,LECCO,23900,LC,14,14,0,14,CONGREGAZIONE SUORE MISERICORDINE DI SAN GERARDO - MONZA,00701570962,PIAZZA SANTA MARGHERITA 2,108033,MONZA,MB,ENTE ECCLESIASTICO,PRIVATO,NO,9.39133693,45.85614547,"(45.85614547, 9.39133693)",10,10,5,1134
322,000753,CASA DI RIPOSO D. BERNACCHI - GERLI ARIOLI ONLUS,VIA FERRARI  11,012072,GAVIRATE,21026,VA,85,82,0,82,FONDAZIONE DOMENICO BERNACCHI-GERLI ARIOLI ONLUS,01485670127,VIA FERRARI 11,012072,GAVIRATE,VA,FONDAZIONE,PRIVATO,SI,8.71766772,45.8440277,"(45.8440277, 8.71766772)",1,1,3,1499
327,001798,FONDAZIONE GIUSEPPINA BRUNENGHI ONLUS,VIA BECCADELLO  6,019025,CASTELLEONE,26012,CR,125,124,0,124,FONDAZIONE GIUSEPPINA BRUNENGHI ONLUS,00387930191,VIA BECCADELLO 6,019025,CASTELLEONE,CR,FONDAZIONE,PRIVATO,SI,9.76474613,45.28917429,"(45.28917429, 9.76474613)",8,8,4,61
321,000206,R.S.A. I PIOPPI,VIA LEONARDO DA VINCI,015101,DRESANO,20070,MI,75,75,0,75,PUNTO SERVICE - COOPERATIVA SOCIALE A R.L,01645790021,VIA VERCELLI 23/A,002031,CARESANABLOT,VC,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,9.35344348,45.37114253,"(45.37114253, 9.35344348)",4,4,8,617
328,002168,DON VENTURA,VICOLO VENTURA  4,018168,VALLE LOMELLINA,27020,PV,24,24,0,24,WELFARE SERVZI,09688410969,VIA PRIVATA CESARE BATTISTI 2,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,8.6629169,45.15190571,"(45.15190571, 8.6629169)",7,7,6,1437
327,001810,RSA MONS. BENEDINI,VIA F. CRISPI 119,020031,MARCARIA,46010,MN,60,60,0,60,FONDAZIONE MONSIGNOR BENEDINI ONLUS,01306390202,VIA FRANCESCO CRISPI 119,020031,MARCARIA,MN,FONDAZIONE,PRIVATO,SI,10.53587386,45.12136219,"(45.12136219, 10.53587386)",9,9,4,1049
328,002197,SOGGIORNO VILLA DELLE ROSE,VIA ROMA  77,018117,PONTE NIZZA,27050,PV,24,20,0,20,VILLA DELLE ROSE   S.R.L.,02540890189,VIA ROMA 77,018117,PONTE NIZZA,PV,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.09965488,44.84925416,"(44.84925416, 9.09965488)",7,7,6,1463
324,037787,OASI GROANE,VIA SICILIA  42,108019,CESANO MADERNO,20811,MB,80,80,0,80,GRUPPO GHERON SRL,01574550339,VIA ARCHIMEDE 57,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.12703761,45.63472744,"(45.63472744, 9.12703761)",12,12,5,1498
325,001329,FONDAZIONE PIERO PICCINELLI CASA MARIA CONSOLATRICE ONLUS,VIA ADELASIO 5/7,016194,SCANZOROSCIATE,24020,BG,210,210,0,210,FONDAZIONE PICCINELLI ONLUS,00668550163,VIA ADELASIO 5/7,016194,SCANZOROSCIATE,BG,FONDAZIONE,PRIVATO,SI,9.73412294,45.71195091,"(45.71195091, 9.73412294)",5,5,1,395
328,002174,MONS. LUIGI NOVARESE,VIA UMBERTO PRIMO  66,018107,PALESTRO,27030,PV,60,60,0,60,COOPERATIVA SOCIALE COOPSELIOS SOCIETÀ COOPERATIVA ONLUS,01164310359,VIA ANTONIO GRAMSCI 54/S,035033,REGGIO NELL'EMILIA,RE,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATO,SI,8.52917465,45.30229904,"(45.30229904, 8.52917465)",7,7,6,1453
326,001506,RSA - CASA DI RIPOSO DON GIUSEPPE BALDO,VIA XXV APRILE  1,017158,PUEGNAGO SUL GARDA,25080,BS,30,30,0,30,CONGREGAZIONE PICCOLE FIGLIE DI SAN GIUSEPPE,00451530232,VIA DON GIUSEPPE BALDO 7,023091,VERONA,VR,ENTE ECCLESIASTICO,PRIVATO,SI,10.51183536,45.57124148,"(45.57124148, 10.51183536)",6,6,2,841
327,001840,FRANCO NICOLAI ONLUS,VIA SAN MARTINO  80,020070,VOLTA MANTOVANA,46049,MN,40,40,0,40,FONDAZIONE FRANCO NICOLAI ONLUS,01564480208,VIA SAN MARTINO 80,020070,VOLTA MANTOVANA,MN,FONDAZIONE,PRIVATO,SI,10.65881524,45.3244925,"(45.3244925, 10.65881524)",9,9,4,939
324,001110,RSA I GELSI,LARGO CADUTI DI NASSIRIYA  3,108025,LAZZATE,20824,MB,62,62,0,62,COOPERATIVA SOCIALE QUADRIFOGLIO S.C. ONLUS,03890320017,VIALE SAVORGNAN D'OSOPPO 4/10,001191,PINEROLO,TO,SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,PRIVATO,NO,,,,,,,
328,002140,VILLA ENRICA,VIA MANARA NEGRONE  33,018003,ALBONESE,27020,PV,75,75,0,75,OPERA CHARITAS S. ANNA,01238910184,VIA L. DA VINCI 1,018069,GARLASCO,PV,ENTE MORALE DI DIRITTO PRIVATO,PRIVATO,SI,8.7143475,45.29765363,"(45.29765363, 8.7143475)",7,7,6,1013
326,001471,RSA - FONDAZIONE ONLUS CASA DI RIPOSO DI CAPRIOLO DON GAUDENZIO MARTINAZZOLI,VIA CASA DI RIPOSO  1,017038,CAPRIOLO,25031,BS,62,54,0,54,FONDAZIONE CASA DI RIPOSO DI CAPRIOLO DON GAUDENZIO MARTINAZZOLI - CENTRO POLIVALENTE DI SERVIZI PER ANZIANI,00984260174,VIA CASA DI RIPOSO 1,017038,CAPRIOLO,BS,FONDAZIONE,PRIVATO,NO,9.9336886,45.6435625,"(45.6435625, 9.9336886)",6,6,2,1068
324,001165,RSA FONDAZIONE GIUSEPPINA SCOLA - ONLUS,VIA CAVOUR  27,108008,BESANA IN BRIANZA,20842,MB,165,146,19,165,FONDAZIONE GIUSEPPINA SCOLA ONLUS,00985740968,VIA CAVOUR 27,108008,BESANA IN BRIANZA,MB,FONDAZIONE,PRIVATO,SI,9.30165024,45.67581857,"(45.67581857, 9.30165024)",12,12,5,76
328,002104,SANTA MARIA ALLE FONTI,VIALE MANGIAGALLI  52,018073,GODIASCO,27052,PV,41,41,0,41,FONDAZIONE DON CARLO GNOCCHI ONLUS,12520870150,P.LE R. MORANDI 6,015146,MILANO,MI,FONDAZIONE,PRIVATO,SI,9.02758657,44.91071078,"(44.91071078, 9.02758657)",7,7,6,537
322,002738,PASCOLI,VIA PER NAVEDANO  26,013084,CUCCIAGO,22060,CO,120,120,0,120,LA VILLA SRL,05849560486,VIA BENEDETTO DA FOIANO 14,048017,FIRENZE,FI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATO,NO,9.09680321,45.74205592,"(45.74205592, 9.09680321)",2,2,3,209
328,002071,FONDAZIONE ALCESTE CORTELLONA,VIA CORTELLONA  41,018102,MORTARA,27036,PV,60,60,0,60,FONDAZIONE  ALCESTE CORTELLONA,01593920182,VIA A CORTELLONA 41,018102,MORTARA,PV,FONDAZIONE,PRIVATO,NO,8.74055814,45.25055277,"(45.25055277, 8.74055814)",7,7,6,1417
321,000633,FONDAZIONE MILANI,VIA ROMA  83,098014,CASTIGLIONE D'ADDA,26823,LO,57,55,0,55,FONDAZIONE MILANI ONLUS,08277760156,VIA ROMA 83,098014,CASTIGLIONE D'ADDA,LO,FONDAZIONE,PRIVATO,SI,9.69532114,45.21597994,"(45.21597994, 9.69532114)",11,11,8,1202
323,016369,RSA DI RONCAGLIA DI CIVO,FRAZIONE RONCAGLIA DI SOTTO  114,014022,CIVO,23010,SO,80,80,0,80,FONDAZIONE ISTITUTO SACRA FAMIGLIA ONLUS,00795470152,PIAZZA MONSIGNOR MONETA 1,015074,CESANO BOSCONE,MI,FONDAZIONE,PRIVATO,SI,9.57102158,46.15831362,"(46.15831362, 9.57102158)",3,3,7,93
321,029305,RESIDENZA SAN FELICE,VIA SAN BOVIO  1,015205,SEGRATE,20090,MI,120,120,0,120,VERDELLO  S.R.L.,07529000965,VIA PUCCINI 3,015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATO,NO,9.30421585,45.47600361,"(45.47600361, 9.30421585)",4,4,8,717
322,000793,RESIDENZA GIANNINA SCOTTI,VIA AVVIA FRANCO BASSANI  13,012087,LAVENO MOMBELLO,21014,VA,117,86,31,117,CENTRO RESIDENZIALE PER ANZIANI MENOTTI BASSANI,01319900120,VIA AVV. FRANCO BASSANI 13,012087,LAVENO-MOMBELLO,VA,FONDAZIONE,PRIVATO,SI,,,,,,,
325,001322,FONDAZIONE CASA DI RIPOSO DI PONTE SAN PIETRO O.N.L.U.S.,VIA MATTEOTTI  5,016170,PONTE SAN PIETRO,24036,BG,103,85,0,85,FONDAZIONE CASA DI RIPOSO DI PONTE SAN PIETRO ONLUS,01837860160,VIA MATTEOTTI 5,016170,PONTE SAN PIETRO,BG,FONDAZIONE,PRIVATO,SI,9.58611086,45.69772082,"(45.69772082, 9.58611086)",5,5,1,436
