Ticket number,Issue Date 1,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4282257324,2016-05-03,1212,,,CA,7,,TOYT,TK,WT,21812 MARTINEZ STREET,00373,53,80.69BS,NO PARK/STREET CLEAN,73,,
4282367644,2016-05-03,1321,,,CA,201612,,HOND,PA,BN,5331 SAN FERNANDO ROAD W,6T8,56,80.69A+,STOP/STAND PROHIBIT,93,6478956.7,1876618.1
4282401642,2016-05-03,819,,,CA,11,,TOYT,PA,GY,4547 MURIETTA AVENUE,00367,53,80.69BS,NO PARK/STREET CLEAN,73,6429072.3,1878656.5
4282604572,2016-05-03,2203,,,CA,201612,,CHEV,VN,WT,6309 PACIFIC AVE,204A,51,80.69B,NO PARKING,73,6424414.4,1808782.4
4282684556,2016-05-03,845,,,MD,201607,,BMW,PA,GY,1240 30TH ST W,00536,55,80.69BS,NO PARK/STREET CLEAN,73,6473753.1,1832490.5
4282979186,2016-05-03,1204,,1025,SC,201610,,MAZD,PA,GY,18500 PRAIRIE ST,00383,53,80.69C,PARKED OVER TIME LIM,58,6399642.9,1909834.8
1112761355,2016-05-02,1205,,,CA,201609,,NISS,PA,RE,6700 WARING AVE,00443,54,8069BS,NO PARK/STREET CLEAN,73,6459501.9,1853588.7
4280355763,2016-05-04,235,,,CA,201609,,CHEV,PA,GO,5224 ZELZAH AVENUE,00310,53,80.56E4+,RED ZONE,93,6403755.5,1883116.1
4280807016,2016-05-04,1809,149,,CA,201609,,NISS,PA,BK,1341 LAVETA TER,00600,56,80.58L,PREFERENTIAL PARKING,68,6484440.2,1850301.7
4281297985,2016-05-04,1015,,,CA,7,,HOND,PA,BK,12956 MACLAY STREET,00341,53,80.69BS,NO PARK/STREET CLEAN,73,,
4281502956,2016-05-04,1318,,,CA,201606,,NISS,PA,BL,22410 DEL VALLE ST,00387,53,80.69B,NO PARKING,73,6375483.6,1884082.9
4281767943,2016-05-04,1502,114,,CA,201608,,INFI,PA,MR,318 SYCAMORE AVE S,00471,54,80.58L,PREFERENTIAL PARKING,68,6457809,1847497.8
4281999525,2016-05-04,1341,LC362,,CA,201701,,LEXS,PA,WT,8244 ALFRED ST N,00472,54,88.13B+,METER EXP.,63,,
4282017740,2016-05-04,815,,,CA,201606,,TOYT,PA,SL,7425 RADFORD AVENUE,00352,53,80.69BS,NO PARK/STREET CLEAN,73,6443097.9,1897484.3
4282146713,2016-05-04,1237,,,CA,201611,,VOLK,PA,GY,1656 GRIFFITH PARK BLVD,00441,54,80.69BS,NO PARK/STREET CLEAN,73,6477438.4,1856160.8
4282204216,2016-05-04,205,,,CA,,,FORD,PU,BL,16620 DEVONSHIRE STREET,00300,53,80.61,STANDNG IN ALLEY,68,6412376,1916445
4282215431,2016-05-04,1218,,,CA,201612,,FORD,PA,GY,11130 ROSE AVE,00144,51,80.69BS,NO PARK/STREET CLEAN,73,6433562.8,1830567.5
4282291300,2016-05-04,1033,ED243,,CA,201606,,NISS,PA,SL,794 12TH ST E,00687,56,88.03A,OUTSIDE LINES/METER,58,6485688.3,1834282
4282734411,2016-05-04,1808,,,CA,201512,,VOLK,PA,GY,18300 SUNBURST ST,00317,53,5204A-,DISPLAY OF TABS,25,6400955.4,1908163.3
4282736172,2016-05-04,2116,,,CA,201702,,HOND,PA,RD,15523 LEMAC STREET,00319,53,22500F,PARKED ON SIDEWALK,68,,
4282892154,2016-05-04,2115,,,CA,201604,,STRN,PA,MR,8526 INTERNATIONAL AVE,00321,53,80.61,STANDNG IN ALLEY,68,6380464.4,1904828.3
4281029664,2016-05-05,1043,LM655,,CA,201606,,SUBA,PA,BK,171 LA BREA AV S,00472,54,88.13B+,METER EXP.,63,6457481.1,1848677.6
4281029723,2016-05-05,1240,LM478,,CA,201703,,HOND,PA,BK,7215 W BEVERLY BL,00472,54,88.13B+,METER EXP.,63,6456719.5,1850277.8
4281475903,2016-05-05,839,,,CA,201609,,HYUN,PA,BL,1452 FAIRBANKS PL,00672,56,80.69BS,NO PARK/STREET CLEAN,73,6484316.6,1851075.1
4281556731,2016-05-05,1235,,0800,FL,201604,,TOYT,PA,SL,504 HAUSER BLVD,00474,54,80.69C,PARKED OVER TIME LIM,58,6455470.1,1846628
4282193823,2016-05-05,1252,,,CA,201610,,HOND,PA,BK,5841 WHITSETT AVE,378R1,53,80.69BS,NO PARK/STREET CLEAN,73,,
4282283235,2016-05-05,1633,,1422,CA,201609,,PONT,PA,SL,510 ARDMORE AVE S,00445,54,80.69C,PARKED OVER TIME LIM,58,6470313.4,1851715.8
4282417112,2016-05-05,1306,,,CA,201609,,TOYT,PA,WT,818 COMMONWEALTH AVE,00161,51,80.69BS,NO PARK/STREET CLEAN,73,6419484.5,1823650.3
4282458563,2016-05-05,643,,,CA,201605,,ACUR,PA,BK,4617 STONER AVENUE,501R,51,80.56E1,WHITE ZONE,58,,
4282486526,2016-05-05,1617,WP8206,,CA,201603,,FORD,PA,WT,26 WASHINGTON BLVD E,00409,51,88.13B+,METER EXP.,63,6420288.4,1815191.5
4282546682,2016-05-05,1337,,1255,MX,,,NISS,PA,BL,735 15TH ST E,00662,56,80.69C,PARKED OVER TIME LIM,58,6484402.4,1833524.8
4282591062,2016-05-05,840,,,CA,201701,,RROV,PA,WT,3786 STEWART AVE,00131,51,80.69BS,NO PARK/STREET CLEAN,73,6428903.5,1823764.8
4282614733,2016-05-05,948,,,CA,201511,,TOYT,PA,BK,944 FIGUEROA TER,00669,56,5204A-,DISPLAY OF TABS,25,6487879.6,1847049.7
4282792135,2016-05-05,812,,,CA,,,HOND,PA,BL,2457 GLYNDON AVE,00133,51,80.69BS,NO PARK/STREET CLEAN,73,6425810,1820690
4282807023,2016-05-05,2259,,,IL,,,FRHT,CM,WT,18801 PHILIPRIMM ST,00310,53,80.69.2,COMM VEH OVER TIME L,133,6397500.7,1885795.7
4282918496,2016-05-05,2128,132,,CA,,,HOND,PA,WT,458 STANLEY AVE N,00400,54,80.58L,PREFERENTIAL PARKING,68,6453762.8,1851468.2
4283160114,2016-05-05,1216,,,CA,201608,,HYUN,PA,YE,6931 RADFORD AVE,00351,53,80.69BS,NO PARK/STREET CLEAN,73,6443085.7,1894074.4
4280665410,2016-05-06,806,,,CA,,,BMW,PA,BK,2260 THOMAS ST,00632,56,80.56E4+,RED ZONE,93,,
4281459291,2016-05-06,1149,CB3318,,CA,201704,,BMW,PA,GY,301 9TH ST W,00681,56,88.13B+,METER EXP.,63,6483771.6,1838138.7
4281789746,2016-05-06,1618,,,CA,201606,,FRHT,TK,WT,123 FIGUEROA ST S,00610,56,80.49+,18 IN/CURB/COMM VEH,63,6485267.6,1843401.6
4281802781,2016-05-06,1013,,0800,CA,201701,,HOND,PA,GY,1630 NORTH EDGEMONT STREET,00441,54,80.69C,PARKED OVER TIME LIM,58,6472013.8,1859048.5
4281823173,2016-05-06,1155,,0800,CA,201610,,FORD,PA,BK,1325 2ND AVE,00177,51,80.69C,PARKED OVER TIME LIM,58,6465058.1,1839625.5
4281826986,2016-05-06,1459,MM590,,CA,201610,,TOYT,PA,BL,701 GENESEE AV S,205B,51,88.13B+,METER EXP.,63,6452737.1,1845179.7
4282170502,2016-05-06,2221,,,CA,201606,,FORD,PA,WT,1401 IVAR AVENUE,00402,54,80.56E1,WHITE ZONE,58,6462120.7,1857542
4282208980,2016-05-06,1140,,,CA,201605,,MERZ,PA,WT,3100 THE GRAND CL,112R,51,5200,DISPLAY OF PLATES,25,,
4282421426,2016-05-06,1921,,,NM,201712,,TOYT,PU,RD,800 SPRING ST N,00600,56,80.56E4+,RED ZONE,93,6484828.3,1838159.3
4282453114,2016-05-06,1314,,,CA,201704,,INFI,PA,BK,6167 DELANO ST,00300,53,5200,DISPLAY OF PLATES,25,,
4282767042,2016-05-06,1812,26,,CA,201609,,TOYT,PA,SL,2331 KELTON AVENUE,00201,51,80.58L,PREFERENTIAL PARKING,68,6430884.8,1837464.3
4282880615,2016-05-06,1931,,,CA,201703,,RROV,PA,WT,4301 WOODMAN AV,00330,53,5200,DISPLAY OF PLATES,25,6431192.7,1876529.7
4282008684,2016-05-08,1724,,,CA,201610,,HOND,PA,BL,6900 HAWTHORN AVE,00402,54,80.66.1D,RESTRICTED TAXI ZONE,68,6458719.5,1859071
4282063052,2016-05-08,1746,,,CA,201605,,TOYT,PU,BK,2126 7TH ST W,00403,54,80.69B,NO PARKING,73,6477731.5,1843092.1
4282200322,2016-05-08,1606,12,,CA,201701,,VOLK,PA,GY,1069 SANBORN AVE N,00403,54,80.58L,PREFERENTIAL PARKING,68,6476647.4,1855898.8
4282524772,2016-05-08,955,,,CA,201611,,KIA,PA,WT,7320 MILWOOD AVE,378R1,53,80.73.2,EXCEED 72HRS-ST,68,6381978.5,1896871.2
4282663464,2016-05-08,1325,,,CA,,,INTL,CM,RD,3331 WHITTIER BOULEVARD,00631,56,5200,DISPLAY OF PLATES,25,6500640.3,1832622.5
1115839550,2016-04-25,1925,1330,,CA,201701,,FORD,PA,BL,GRAND AVE N/O PICO,1FB93,1,5204A,EXPIRED TAGS,25,,
4279994364,2016-05-09,1123,WV231,,CA,3,,AUDI,PA,GY,10901 WEYBURN AVE,00301,51,88.13B+,METER EXP.,63,6426797.9,1845451.3
4281445674,2016-05-09,1653,TZ385,,CA,,,KIA,PA,BK,19200 VENTURA BL,00101,53,88.13B+,METER EXP.,63,6394792.9,1885654.7
4281558606,2016-05-09,1011,,,CA,201604,,FORD,PA,BN,1204 ABBOT KINNEY BLVD,00138,51,80.69BS,NO PARK/STREET CLEAN,73,6419482,1819590.4
4282524831,2016-05-09,835,,,CA,201607,,NISS,PA,GY,AF 18530 HATTERAS ST,00373,53,80.69BS,NO PARK/STREET CLEAN,73,,
4282559875,2016-05-09,935,ED104,,CA,2,,ACUR,PA,SL,700 8TH ST E,00661,56,88.13B+,METER EXP.,63,6483199.6,1839427.4
4282790282,2016-05-09,1004,,,CA,201601,,VOLK,PA,GY,8525 GUTHRIE AVE,00147,51,80.69BS,NO PARK/STREET CLEAN,73,6447305.4,1837311.3
4282846525,2016-05-09,1131,CB3546,,CA,201702,,HOND,PA,SL,200 15TH ST W,00651,56,88.13B+,METER EXP.,63,6481688.2,1835371.4
4283217153,2016-05-09,1036,,,CA,201702,,TOYT,PA,WT,8154 SEPULVEDA PLACE,00361,53,80.69BS,NO PARK/STREET CLEAN,73,6420728.7,1902450.1
1110904012,2016-05-06,806,SS16,,CA,201610,,VOLK,PA,BK,11316 MESSACHUSETTS,00141,51,8813B,METER EXPIRED,63,,
4281503623,2016-05-10,1456,WH553,,CA,201606,,PORS,PA,WT,5348 TOPANGA CANYON BL,00387,53,88.13B+,METER EXP.,63,6378428.9,1883831.7
4281769660,2016-05-10,1348,,1235,CA,201701,,VOLK,PA,RD,6726 HOLLYWOOD BLVD,00487,54,80.69C,PARKED OVER TIME LIM,58,6459641.7,1859511.3
4281943702,2016-05-10,807,,,CA,201609,,CHEV,PU,BK,5006 VENICE BLVD,00147,51,80.69BS,NO PARK/STREET CLEAN,73,,
4282009594,2016-05-10,1224,,,CA,201603,,JEEP,PA,WT,234 N BEACHWOOD DR N,00471,54,5204A-,DISPLAY OF TABS,25,,
4282632734,2016-05-10,1220,,,CA,201605,,SMRT,PA,OT,11601 SAN VICENTE BL,00600,51,22500C,SAFETY ZONE/CURB,68,6416069,1841199.6
4282678702,2016-05-10,1803,OS789,,CA,201701,,HOND,PA,GY,11301 TENNESSEE AV,00406,51,88.13B+,METER EXP.,63,6428367.9,1836030.8
4282857670,2016-05-10,822,,,CA,3,,JEEP,PA,BK,14025 MOORPARK STREET,00366,53,80.69BS,NO PARK/STREET CLEAN,73,6429041,1877393
4282894486,2016-05-10,946,,,AZ,7,,DODG,TK,BL,6740 DREXEL AVE W,00474,54,80.69BS,NO PARK/STREET CLEAN,73,6448285.4,1847955.3
4282946264,2016-05-10,1354,,,CA,201704,,FORD,TR,BK,1505 EVERGREEN AVE S,00637,56,80.69A+,STOP/STAND PROHIBIT,93,6496454.1,1829690.1
4282956425,2016-05-10,1656,,,CA,201706,,OTHR,PA,BK,2043 BUTLER AVENUE,00206,51,5200,DISPLAY OF PLATES,25,6426545.5,1836754.5
4283328070,2016-05-10,820,VN686B,,CA,201606,,LEXS,PA,BK,14345 DELANO ST,00363,53,88.13B+,METER EXP.,63,6426982.7,1889150.1
4283336120,2016-05-10,1129,BF295,,CA,201606,,BMW,PA,BK,751 FAIRFAX AV N,00471,54,88.13B+,METER EXP.,63,6452258.4,1853814.1
1109335695,2016-04-26,745,,,CA,201404,,CHEV,TR,WH,FLINT/G,MQ42,1,002,4000A,50,,
1112767202,2016-05-09,637,,,CA,201607,,VOLV,PA,SI,3600 W COUNCIL ST,00403,54,8056E1,WHITE ZONE,58,6474482.2,1849613.2
4280665885,2016-05-11,1010,,,CA,201610,,TOYT,PA,BK,2155 PARKSIDE AVE,00632,56,80.69BS,NO PARK/STREET CLEAN,73,6501071.1,1847891.1
4281557475,2016-05-11,1135,,,CA,201610,,MASE,PA,WT,8400 MELROSE PL,00471,54,80.56E2,YELLOW ZONE,58,6448035.1,1853020.1
4281701852,2016-05-11,1326,,1145,CA,201602,,FORD,PU,BL,1513 AVALON BLVD,00567,55,80.69C,PARKED OVER TIME LIM,58,6481604.1,1747357.7
4282394690,2016-05-11,1046,,,CA,201611,,MERZ,PA,GY,13265 FILMORE STREET,00342,53,80.69BS,NO PARK/STREET CLEAN,73,6434263.2,1921510.8
4282405201,2016-05-11,1620,,,CA,201602,,AUDI,PA,BK,1930 BELOIT AVE,00206,51,5204A-,DISPLAY OF TABS,25,6426293.6,1839532.6
4282459694,2016-05-11,1644,VL19,,CA,201704,,TOYT,PA,SL,1301 ELECTRIC AVE,00307,51,88.13B+,METER EXP.,63,6419829,1819688.5
4282633051,2016-05-11,1031,,,CA,201612,,TOYT,PA,GY,2130 5TH AVENUE,00143,51,80.69BS,NO PARK/STREET CLEAN,73,,
4282663976,2016-05-11,719,,,CA,10,,INFI,PA,WT,550 WITMER STREET,00600,56,80.56E2,YELLOW ZONE,58,6481254.7,1842792.9
4282953916,2016-05-11,1359,,,CA,201611,,JAGU,PA,SL,1106 HOPE ST S,00687,56,80.56E1,WHITE ZONE,58,6481951.9,1837831.2
4283387776,2016-05-11,1048,,,CA,201605,,FORD,PA,WT,3512 10TH AVE,00531,55,80.69BS,NO PARK/STREET CLEAN,73,,
4283654410,2016-05-11,1125,23,,CA,201702,,ACUR,PA,WT,15047 HARTLAND STREET,00361,53,80.58L,PREFERENTIAL PARKING,68,6422365.2,1893767.6
4280811802,2016-05-12,1528,YO64A,,CA,5,,YAMA,PA,GY,5000 YORK BL,00675,56,88.13B+,METER EXP.,63,6499051.2,1866654.1
4281504684,2016-05-12,1222,,,CA,201609,,FORD,PA,GN,8001 LANGDON AVE,00393,53,80.56E4+,RED ZONE,93,6420256.7,1901307.8
4282060856,2016-05-12,1616,,,CA,201705,,FORD,PA,BK,169 NORTH LA BREA AVENUE,00471,54,80.70,NO STOPPING/ANTI-GRI,163,6457483,1849659.8
4282352642,2016-05-12,839,,,CA,201601,,KIA,PA,BL,3611 MOTOR AVE,00148,51,80.69BS,NO PARK/STREET CLEAN,73,6438284,1831611.9
4282355921,2016-05-12,1741,,,CA,201703,,DODG,TK,BK,1301 MAIN ST,204B,51,5200,DISPLAY OF PLATES,25,6418402.7,1819100.8
4282713175,2016-05-12,1336,,,CA,201702,,TOYT,PA,GY,205 MADISON AVE N,00472,54,80.56E1,WHITE ZONE,58,6474069.2,1849656.6
4282719954,2016-05-12,1633,YO66,,CA,201612,,TOYT,PA,BL,5000 YORK BL,00610,56,88.13B+,METER EXP.,63,6499051.2,1866654.1
4282812461,2016-05-12,1834,EN110,,CA,201606,,HOND,PA,WT,16101 VENTURA BL,00300,53,88.13B+,METER EXP.,63,6415356.4,1879639.8
4282876662,2016-05-12,1640,,,NM,200707,,UNK,MS,GN,713 WOODLAWN AVE,906R,51,22502A,18 IN. CURB/2 WAY,63,,
4282899106,2016-05-12,1601,PB117,,CA,201608,,FORD,PA,GY,1301 RIDGELEY DR,00309,51,88.13B+,METER EXP.,63,6454180.6,1841134.7
4283096355,2016-05-12,1943,WV302,,CA,201705,,CHEV,PA,BN,1100 WESTWOOD BLVD,00301,51,88.13B+,METER EXP.,63,6426785.9,1844802.9
4283298331,2016-05-12,1826,SC411,,CA,,,KIA,PA,BK,11100 VENTURA BL,00107,53,88.13B+,METER EXP.,63,6448866.9,1874063.6
1115834672,2016-05-06,1907,,,CA,201612,,KIA,PA,BK,SUNBURY/OLYMPIC,1FB94,1,8069AP,NO STOP/STAND PM,93,,
4279995355,2016-05-13,1403,PR16,,CA,,,TOYT,PA,BL,8701 PICO BL W,139B,51,88.13B+,METER EXP.,63,6446078,1842386.1
4282629713,2016-05-13,1039,,,CA,,,KIA,PA,WT,5240 COLFAX AVENUE,00353,53,80.69BS,NO PARK/STREET CLEAN,73,,
4283017410,2016-05-13,803,,,CA,201605,,FORD,TK,WT,615 GRAND AVE S,00653,56,80.69AP+,NO STOP/STANDING,93,6484245.6,1840095.7
4282782652,2016-05-15,1328,,,CA,201612,,HYUN,PA,SL,269 LA FAYETTE PARK PL S,00403,54,80.56E4+,RED ZONE,93,6476808,1847146.9
4281803525,2016-05-16,1111,,,CA,201611,,TOYT,TK,GN,5755 W FOUNTAIN AVE,00443,54,80.69BS,NO PARK/STREET CLEAN,73,6466282.9,1857003.7
4282389635,2016-05-16,1215,,,CA,201612,,MERZ,PA,WT,705 GENESEE AVE S,00141,51,80.69BS,NO PARK/STREET CLEAN,73,6452761.8,1845170.1
4282845722,2016-05-16,842,,,CA,201602,,TOYT,PA,WT,343 VETERAN AVE,00187,51,5204A-,DISPLAY OF TABS,25,6423845.9,1848672
4282889225,2016-05-16,1730,,,CA,201704,,INFI,PA,WT,2019 8TH ST W,00600,56,5200,DISPLAY OF PLATES,25,6477803.4,1842311.9
4282985081,2016-05-16,833,,,CA,201612,,DODG,PA,GY,658 14TH ST W,00568,55,80.69BS,NO PARK/STREET CLEAN,73,6473040.9,1724801.5
4282992184,2016-05-16,1545,171,,CA,9,,MERZ,PA,WT,1943 SOUTH WESTGATE AVENUE,00401,51,80.58L,PREFERENTIAL PARKING,68,,
4283147551,2016-05-16,1501,L171,,CA,201703,,MNNI,PA,BK,300 LARCHMONT BL N,00475,54,88.13B+,METER EXP.,63,6463661,1850273.2
4283168562,2016-05-16,918,,,CA,201608,,LINC,PA,GY,932 COCHRAN AVE,00143,51,80.69BS,NO PARK/STREET CLEAN,73,6456066.6,1843817.2
4283244652,2016-05-16,1400,WU578,,CA,201704,,CHEV,PA,WT,1726 7TH ST W,00642,56,88.13B+,METER EXP.,63,6479001.1,1842398.8
4283261356,2016-05-16,1302,,,CA,201610,,TOYT,PA,GY,1140 ELM DR,00101,51,80.69BS,NO PARK/STREET CLEAN,73,6442054.1,1843119.7
4283274391,2016-05-16,1007,,,CA,201703,,TOYT,PA,BL,331 BIXEL ST S,00642,56,80.69BS,NO PARK/STREET CLEAN,73,6482924.9,1843327.8
4283438961,2016-05-16,1235,WB31,,CA,201611,,SUZI,PA,WT,2000 BROADWAY  S,00600,56,88.13B+,METER EXP.,63,6495142.1,1848963.1
4283472620,2016-05-16,1406,CB508,,CA,201607,,MERZ,PA,WT,1314 SANTEE ST S,00681,56,88.13B+,METER EXP.,63,6483383.5,1835218.6
4283542804,2016-05-16,828,,,CA,201701,,TOYT,PA,BK,9301 WADSWORTH AVE,00556,55,80.69BS,NO PARK/STREET CLEAN,73,,
4283813122,2016-05-16,1631,,,CA,201612,,TOYT,PA,WT,371 2ND ST E,00687,56,80.56E4+,RED ZONE,93,6486712.8,1841722.9
1110457110,2016-05-10,415,,,CA,201703,,PONT,PA,RE,1500 N CRUSADO LN,4A15,1,8069B,NO PARKING,73,,
1110900092,2016-05-13,1325,,,TN,201605,,CHEV,PA,YE,9426 W PICO BL,00146,51,8056E4,RED ZONE,93,,
4282409165,2016-05-17,1115,34,,CA,201606,,TOYT,PA,GN,6431 ORANGE ST,00473,54,80.58L,PREFERENTIAL PARKING,68,6450040.9,1846183.2
4282705055,2016-05-17,1347,YO22,,CA,201506,,GMC,PU,WT,1309 AVENUE 51 N,00674,56,88.13B+,METER EXP.,63,6499699.8,1866530.8
4282811470,2016-05-17,1210,,,CA,201605,,HOND,PA,GN,7010 LEXINGTON AVE,00445,54,80.69BS,NO PARK/STREET CLEAN,73,6458162.7,1856246
4283347110,2016-05-17,1154,,,CA,201608,,CHEV,PA,BL,346 4TH ST E,00665,56,80.56E4+,RED ZONE,93,6485978.6,1840617.5
4284056674,2016-05-17,1830,31,,CA,201606,,NISS,PA,BK,1156 HOBART BLVD N,00403,54,80.58L,PREFERENTIAL PARKING,68,6469438.7,1856052.2
4284089014,2016-05-17,1209,,,CA,201703,,MERZ,PA,WT,6951 LENNOX AVENUE,00361,53,80.69BS,NO PARK/STREET CLEAN,73,6426969.2,1894371.9
1112205813,2016-05-14,2245,,,CA,201512,,NISS,PA,BK,6101 WESTCHESTER PKW,2L105,2,4000A1,NO EVIDENCE OF REG,50,,
4281975364,2016-05-18,1104,,,CA,,,GMC,TK,YE,200 OLYMPIC BLVD E,00651,56,80.56E4+,RED ZONE,93,6483686,1837366.7
4282759412,2016-05-18,848,VN764,,CA,201611,,CHEV,PA,WT,6181 SYLMAR AV,00363,53,88.03A,OUTSIDE LINES/METER,58,6426618.4,1889016.5
4282945892,2016-05-18,1557,,1330,CA,201606,,HOND,PA,BK,601 LANDFAIR AVE S,00113,51,80.69C,PARKED OVER TIME LIM,58,6425406.2,1847238.7
4282970790,2016-05-18,1017,,,CA,201506,,SUBA,PA,WT,764 PLYMOUTH BLVD S,00451,54,80.69BS,NO PARK/STREET CLEAN,73,6463694.7,1844541.1
4283115513,2016-05-18,1538,SO810,,CA,201611,,BMW,PA,BK,4200 VENTURA CANYON AV,00396,53,88.13B+,METER EXP.,63,6431731.2,1875836.8
4283258394,2016-05-18,1119,,1058,CA,201612,,DODG,PA,GY,221 3RD ST E,00666,56,80.69C,PARKED OVER TIME LIM,58,6486796.2,1840819.1
4283301190,2016-05-18,1646,VN524A,,CA,201602,,HOND,PA,BK,14501 DELANO ST,00319,53,88.13B+,METER EXP.,63,6425958.6,1889154.1
4283380345,2016-05-18,741,,,CA,201608,,CHEV,PA,GY,7324 CRENSHAW BOULEVARD,57B,57,5200,DISPLAY OF PLATES,25,,
4283592423,2016-05-18,1137,,,CA,201605,,CHEV,PA,BK,1055 OLIVE ST S,00673,56,5200,DISPLAY OF PLATES,25,6482813.6,1837587.8
4283667861,2016-05-18,1206,,,CA,12,,TOYT,PA,SL,17130 BURBANK BOULEVARD,00366,53,80.69BS,NO PARK/STREET CLEAN,73,6408479.9,1885448.7
4283778634,2016-05-18,1223,,,CA,,,TOYT,PA,GY,1148 39TH PL W,534H,55,80.69BS,NO PARK/STREET CLEAN,73,6471928.1,1827654.7
4283958836,2016-05-18,1207,,,CA,201609,,LEXS,PA,WT,1104 WEST 37TH PLACE,535H,55,80.69BS,NO PARK/STREET CLEAN,73,6469272.7,1718273.1
1110342925,2016-04-28,1355,,,CA,,,TOYO,PA,BK,12021 PACIFIC AV,00001,1,5200A,DSPLYPLATE A,25,,
4281021124,2016-05-19,1940,LT59,,CA,,,TOYT,PA,BL,375 2ND ST E,00600,56,88.13B+,METER EXP.,63,6486699.5,1841733.3
4281606000,2016-05-19,2315,98,,AZ,,,TOYT,PA,GY,1817 SILVER LAKE BLVD,402R,54,80.58L,PREFERENTIAL PARKING,68,6480938.3,1855641.5
4282593921,2016-05-19,1318,,,CA,6,,FRHT,CM,WT,300 9TH ST W,00659,56,80.56E4+,RED ZONE,93,6483771.6,1838138.7
4282681200,2016-05-19,831,,,CA,201512,,TOYT,PA,BK,10901 BLIX ST,00356,53,80.69BS,NO PARK/STREET CLEAN,73,6450364.1,1879596.5
4282931096,2016-05-19,1229,,,CA,4,,BMW,MC,BK,850 VENDOME ST N,00445,54,80.69BS,NO PARK/STREET CLEAN,73,,
4283263714,2016-05-19,807,,,CA,201703,,HOND,PA,SL,5444 AGNES AVE,00355,53,80.69BS,NO PARK/STREET CLEAN,73,6442070.2,1884268.4
4283338861,2016-05-19,1243,,,CA,2,,NISS,PA,BK,13351 HERRON ST,00341,53,80.69BS,NO PARK/STREET CLEAN,73,,
4283503350,2016-05-19,1335,,,CA,201703,,ACUR,PA,BK,1008 ELKGROVE AVE,00161,51,80.69BS,NO PARK/STREET CLEAN,73,6422384.9,1822806.6
4283578725,2016-05-19,853,,,CA,201511,,CHEV,PU,BK,1621 2ND AVE,00148,51,80.69BS,NO PARK/STREET CLEAN,73,,
4283754274,2016-05-19,825,,,CA,201612,,LEXS,PA,RD,7400 RADFORD AVE,00352,53,80.69BS,NO PARK/STREET CLEAN,73,6443096.3,1897153.1
4283910164,2016-05-19,1058,,,CA,201607,,FORD,PA,BK,13134 WARREN AVE,00162,51,80.61,STANDNG IN ALLEY,68,,
4283938326,2016-05-19,1118,,,CA,201611,,FORD,PA,MR,4515 INGLEWOOD BLVD,00168,51,80.69BS,NO PARK/STREET CLEAN,73,6435173.2,1820660.4
4283940651,2016-05-19,2250,,,CA,201601,,FORD,VN,GN,11125 RESEDA BOULEVARD,00319,53,5204A-,DISPLAY OF TABS,25,,
4284092094,2016-05-19,909,,,CA,201703,,CADI,PA,BK,4152 GREENBUSH AVE,00367,53,80.69BS,NO PARK/STREET CLEAN,73,6432746.5,1875668.9
4283093916,2016-05-20,900,,,CA,201703,,VOLK,PA,RD,3100 HALM AVE,00149,55,80.56E4+,RED ZONE,93,,
4283175676,2016-05-20,823,,,CA,201701,,RROV,TK,BK,10361 COMSTOCK AVE,00154,51,80.69BS,NO PARK/STREET CLEAN,73,,
4283185944,2016-05-20,806,SW395,,CA,201607,,MAZD,PA,BL,928 WESTERN AV N,00446,54,88.13B+,METER EXP.,63,6468051.6,1842472
4283238875,2016-05-20,1232,,,CA,201608,,CHEC,PA,WT,200 28TH ST W,00500,55,80.56E4+,RED ZONE,93,6479256.3,1831255.4
4283367130,2016-05-20,1429,MV162,,CA,201605,,BMW,PA,WT,12200 VENICE BL,00161,51,88.13B+,METER EXP.,63,6430989.7,1824418.3
4283434864,2016-05-20,2047,132,,CA,201607,,NISS,PU,GY,418 OGDEN DR N,00400,54,80.58L,PREFERENTIAL PARKING,68,6452631,1847516.1
4283496383,2016-05-20,926,,,CA,201612,,PTRB,CM,BL,3078 PICO BLVD W,00419,51,80.56E4+,RED ZONE,93,,
4283581131,2016-05-20,1249,,,CA,201607,,HOND,PA,WT,722 SOUTH CORONADO STREET,00456,54,80.69BS,NO PARK/STREET CLEAN,73,6476142.7,1843791.3
4283649834,2016-05-20,826,CB2972,,CA,1,,CHEV,PA,SL,801 HILL ST S,00686,56,88.13B+,METER EXP.,63,6484179.2,1838663.5
4283702791,2016-05-20,1510,,,CA,201703,,BMW,PA,WT,1111 HOPE ST S,00674,56,22507.8A,DISABLED PARKING/NO,363,6481899.2,1837763.7
4283754915,2016-05-20,1207,,,CA,201606,,HYUN,PA,BK,12105 CHANDLER BLVD,350R1,53,80.69BS,NO PARK/STREET CLEAN,73,6441685.9,1883997
4284167053,2016-05-20,809,,,NV,201612,,NISS,PA,WT,10847 KLING ST,00356,53,80.69BS,NO PARK/STREET CLEAN,73,6450353.7,1879239.9
4282819354,2016-05-21,121,36,,CA,,,TOYT,PA,GY,902 BURNSIDE AVE S,506A,51,80.58L,PREFERENTIAL PARKING,68,,
